"title","url","stars","name","reviewUrl","text"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Muhammad Zaenun","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxaU9WaHNhbEJsYWpGemRGaHZTMEZSWmtNd1JtYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOi1iOVhsalBlajFzdFhvS0FRZkMwRmc%7C0chyfprrh9l%7C?hl=id","Adem"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","adela ayudia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSeWVGZGtWVzlLVTAwM1lYWTJTbmszU0hwd1RYYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOjRyeFdkVW9KU003YXY2Snk3SHpwTXc%7C0caE3smp5B2%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Imroatun Nadhifah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKT1gzUlZPRXRSWm1GWVNpMW1SVFpQWjBWdWFsRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOjJOX3RVOEtRZmFYSi1mRTZPZ0VualE%7C0ca3IXkPOTn%7C?hl=id","Yang dulu IKIP PGRI Semarang sekarang berubah menjadi UPGRIS Semarang 😍😍😍 hadir menyapa alumni IKIP PGRI Semarang angkatan tahun 2009.
Sukses selalu kampusku 🥰🥰🥰"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Za'iimah Sekar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWaVYyaHdRbk5zWlhCaFIwRnVUVVo1TFd0Q1ZtYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOjViV2hwQnNsZXBhR0FuTUZ5LWtCVmc%7C0cZ4I9ZfmEL%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Eko Saparudin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xjMlNrUkRXWEpsWmtoUFpHSjNNMGREZFVJM2VWRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOlc2SkRDWXJlZkhPZGJ3M0dDdUI3eVE%7C0cXmbGcGfQk%7C?hl=id","Bagus"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Anisa Mayada Nuraini","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWNVdVWmFabTFpYjFaNVpGOVRkblJJT0dzMFZIYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOjV5WUZaZm1ib1Z5ZF9TdnRIOGs0VHc%7C0cXOmBJLnlQ%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Danz Muhammad","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xwbVFWSjNkRkkyYzA5eFZISlliVTFQVFhCSlluYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOlpmQVJ3dFI2c09xVHJYbU1PTXBJYnc%7C0cURc0_dAXN%7C?hl=id","kampuss terbaikkk the besttt"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Muhammad Helmi Yaya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGdlEzZFhNWGhOZDAxSmNIUTVXRTlUZEVaeGRXYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOjFvQ3dXMXhNd01JcHQ5WE9TdEZxdWc%7C0cTHWj_5pfJ%7C?hl=id","Bener-bener bermakna, kangen banget UPGRIS"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Rohastono Ajie","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VLZUN4YzZxdnV6UEdREAE!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKEKeCxc6qvuzPGQ%7C0cT60vOzr4L%7C?hl=id","Terbaik diantara universitas PGRI se Indonesia."
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","2","Suprapto Suryodiharjo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20wMVYxaFNRM1p3YUd3MVVWTmtWVU41U0c1RGExRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOm01V1hSQ3ZwaGw1UVNkVUN5SG5Da1E%7C0cS8GZhiqeM%7C?hl=id","TU nya perlu dididik lagi, gak bisa membedakan kertas doff/matte/lustre dengan glossy. Anggapannya kalau teksturnya kasar itu doff, padahal matte, lustre itu juga masuk doff karena gak ada lapisan plastiknya. Yang gak bisa distempel itu GLOSSY karena ada lapisan plastiknya, tapi sebenarnya dengan tehnology stempel jaman sekarang, yang tintanya lebih kental, glossy juga bisa distempel. Kecuali UPGRIS stempelnya masih pakai jaman 80an yang pakai karet sandal. Gini banget jadi orang, suka bikin orang lain repot, udah jelas kertas doff masih dibilang tidak dofft karena teksturnya kurang kasar, apa perlu dicetak diatas kertas amplas biar kasar ?"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Irfan fauzi arifathoni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfdHJIb01REAE!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKEICAgID_trHoMQ%7C0cQo66bXIBO%7C?hl=id","bersih... luas, fasilitas bagus

saran : tolong parkiran motor GP , dibuat jangan jalak nanjak curam kak.. saya pernah jatuh disitu tenaga motor kurang 🙏🙏"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","adhi rendra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KVGRYcDFha0o2VDFjd2NFeGxWWGxEZG1oeldWRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOnJTdXp1akJ6T1cwcExlVXlDdmhzWVE%7C0cQnU1Hg1Us%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Agus Karyanto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtaE0tM3lBRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKEICAgID-hM-3yAE%7C0cPleQNfU-w%7C?hl=id","Fasilitas yang sangat bagus kampus 4 UPGRIS jl. Gajah Raya no 40"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","HAFID AL QORI ARDIYANTO","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oRVdFMU9PVGh3WXpKWldsRnJXV2hmUW05SWVYYxAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOnhEWE1OOThwYzJZWlFrWWhfQm9IeXc%7C0cOBK6kjeQv%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","1","Rz Oi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21JM1N6TTFYMEUyVkhKMVIwWkpWa3hCU1c5S1dWRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CAIQACodChtycF9oOmI3SzM1X0E2VHJ1R0ZJVkxBSW9KWVE%7C0cJrWWbr9QY%7C?hl=id","Mahasiswa ceweknya ga ramah suka misuh2"
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Ahsin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VMRFdtc21Vc0xyaUNREAE!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKELDWmsmUsLriCQ%7CCgwI_Lr0wQYQsKmJxwE%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","D'Verz 69","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VKVGItc3l4cjR1RmpnRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKEJTb-syxr4uFjgE%7CCgwI65jWwQYQ2NLOzAI%7C?hl=id",
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","4","HENRY MODELLING ENTERTAINMENT","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VNYTBfcUd6LU9XNVhBEAE!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKEMa0_qGz-OW5XA%7CCgwIhqHPwQYQkIOPpAM%7C?hl=id","Gedung megah n mahasiswa banyak..
Lulusan berpeluang.un.mudah kerja sbg pendidik (guru)..."
"Universitas PGRI Semarang","https://www.google.com/maps/search/?api=1&query=Universitas%20PGRI%20Semarang&query_place_id=ChIJw1KcWqSMcC4RvN_uUSJI52c","5","Hamdan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VLQ2Z6WkRkenV5bXdnRRAB!2m1!1s0x0:0x67e7482251eedfbc!3m1!1s2@1:CIHM0ogKEKCfzZDdzuymwgE%7CCgwIpO2KwQYQsMWC3wI%7C?hl=id","Universitas swasta yg akuntabel... Oke deh pokoknya..."
